Player_ID,Date,Total_Distance_m,High_Speed_Running_m,Sprint_Distance_m,Injury_Occurred,Daily_Load,Acute_Load,Chronic_Load,ACWR,Monotony,Strain,Injury_Risk_Probability,Risk_Level
P001,2026-01-01,8926,1161,421,0,1894.1,0.0,0.0,0.0,0.0,0.0,0.0197,Low
P001,2026-01-02,8782,897,427,0,1753.7,0.0,0.0,0.0,0.0,0.0,0.0393,Low
P001,2026-01-03,10284,826,323,0,1764.4,1792.4783783783782,0.0,0.0,22.935064791752737,41110.60774592398,0.0277,Low
P001,2026-01-04,8438,827,293,0,1550.3000000000002,1703.9102857142857,0.0,0.0,11.997147556021003,20442.063119936192,0.0464,Low
P001,2026-01-05,6263,450,212,0,1063.3000000000002,1493.9279129321385,0.0,0.0,4.569581979266263,6826.626069257559,0.0639,Low
P001,2026-01-06,7614,1061,178,0,1469.9,1486.6203445203448,0.0,0.0,4.99566303376226,7426.654300359202,0.0245,Low
P001,2026-01-07,7015,1407,246,0,1651.0,1534.045791364373,0.0,0.0,5.62166707874264,8623.894722596797,0.0389,Low
P001,2026-01-08,9235,540,214,0,1407.5,1498.8897719372617,0.0,0.0,6.152526293244398,9221.9587325191,0.1009,Low
P001,2026-01-09,9300,622,306,0,1547.0,1511.8937268261702,0.0,0.0,6.79195435101786,10268.713176193614,0.0689,Low
P001,2026-01-10,8232,880,208,0,1471.2,1501.1132061075648,0.0,0.0,7.9850242786978125,11986.425395842818,0.0052,Low
P001,2026-01-11,11912,963,163,0,1835.7,1588.4485235951697,0.0,0.0,6.689757721968569,10626.33577667036,0.0125,Low
P001,2026-01-12,10367,601,290,0,1627.2,1598.4533077615565,0.0,0.0,10.982897763568834,17555.649258983605,0.0336,Low
P001,2026-01-13,6194,569,288,0,1191.9,1494.3415707987638,0.0,0.0,7.312860639754401,10927.911655443044,0.0136,Low
P001,2026-01-14,10241,1018,257,0,1790.1000000000001,1569.6225303222725,1564.2250442959878,1.0034505751020042,7.020360525018045,11019.316051053422,0.0189,Low
